sku,nombre,status,stock_total,reorder_point,qty_to_reorder,velocidad,prediccion_prophet,disponibilidad_galerias,disponibilidad_millennium,cantidad_en_transito
10157,UNI-T UT334E DETECTOR DE GASES (4 GASES),CRITICO,0.00,1.21,1.21,0.01,1.42,-1.00,1.00,0
10156,UNI-T UT334F DETECTOR DE (GASES 4 GASES),CRITICO,0.00,0.89,0.89,0.01,0.78,0.00,0.00,0
10146,UNI-T LM320D Medidor de Ángulo Digital,CRITICO,-2.00,2.18,4.18,0.02,2.36,-5.00,3.00,0
10087,UNI-T UT-P04 Puntas de Prueba,CRITICO,0.00,0.27,0.27,0.00,0.54,0.00,0.00,0
10139,HIKMICRO D01 Camara Termica,SOBRESTOCK,24.00,7.34,0.00,0.05,8.69,23.00,1.00,0
10138,"UNI-T UTS3021B ANALIZADOR DE ESPECTRO 8,4GHZ",CRITICO,0.00,1.02,1.02,0.01,1.04,0.00,0.00,0
10036,UNI-T UPO3354E Osciloscopio de fósforo 350MHZ,CRITICO,0.00,1.02,1.02,0.01,1.04,0.00,0.00,0
10137,UNI-T UT665P-5M Boroscopio digital HD (5Mts),OPTIMO,10.00,9.83,0.00,0.07,10.66,9.00,1.00,0
10136,UNI-T UT343D medidor de espesor,SOBRESTOCK,8.00,2.18,0.00,0.02,2.36,8.00,0.00,0
10134,UNI-T UT116A Multímetro SMD,CRITICO,0.00,2.18,2.18,0.02,2.37,0.00,0.00,0
10097,JCD EstañoxMetro,SOBRESTOCK,291.00,5.24,0.00,0.03,6.49,145.00,146.00,0
10130,HIKMICRO EYEPIECE THUNDER 3.0 Adaptador monocular,CRITICO,0.00,0.87,0.87,0.01,0.75,0.00,0.00,0
10126,JCD YQK400C Prensa Terminal 400mm2,CRITICO,0.00,0.93,0.93,0.00,1.86,0.00,0.00,0
10121,HIKMICRO THUNDER 3.0 TH35C Visor Termico,CRITICO,0.00,0.87,0.87,0.01,0.75,0.00,0.00,0
10114,HIKMICRO HM-ADAPTER-50A Adaptador Thunder,CRITICO,0.00,0.87,0.87,0.01,0.75,0.00,0.00,0
10105,UNI-T UTP3315TFL-II FUENTE DE ALIMENTACÓN VARIABLE  5A,OPTIMO,2.00,1.10,0.00,0.01,1.20,2.00,0.00,0
10103,UNI-T UT387C Escaner de paredes,OPTIMO,9.00,7.68,0.00,0.06,8.37,8.00,1.00,0
10098,UNI-T UT366A Manometro Digital,SOBRESTOCK,9.00,0.22,0.00,0.00,0.45,8.00,1.00,0
10096,UNI-T UT332+ Medidor de temperatura y humedad profesional,SOBRESTOCK,9.00,0.83,0.00,0.01,0.65,7.00,2.00,0
10095,UNI-T UT273+ Telurometro tipo pinza,CRITICO,0.00,1.30,1.30,0.00,2.60,0.00,0.00,0
10088,UNI-T UT25CL LOCALIZADOR DE CABLES AVANZADO,OPTIMO,11.00,10.27,0.00,0.06,13.55,10.00,1.00,0
10082,UNI-T UT278C PINZA TELUROMÉTRICA,OPTIMO,6.00,4.49,0.00,0.03,4.98,6.00,0.00,0
10078,UNI-T UT197 MULTIMETRO INDUSTRIAL DE ALTA PRECISION IP67,SOBRESTOCK,7.00,2.19,0.00,0.02,2.37,7.00,0.00,0
10055,UNI-T UT336B DETECTOR DE GASES REFRIGERANTES,SOBRESTOCK,6.00,1.15,0.00,0.01,1.30,6.00,0.00,0
10053,UNI-T UT575B MEDIDOR DE RESISTIVIDAD DEL SUELO MULTIFUNCION,OPTIMO,2.00,1.86,0.00,0.02,1.72,2.00,0.00,0
10052,UNI-T LM573LD-II NIVEL LASER 12 LÍNEAS,SOBRESTOCK,7.00,1.09,0.00,0.01,1.18,7.00,0.00,0
10043,UNI-T UT195DS MULTÍMETRO PROFESIONAL AVANZADO,SOBRESTOCK,18.00,1.01,0.00,0.01,1.03,18.00,0.00,0
10035,UNI-T UT620C+ MICROHMÍMETRO DIGITAL,REORDER,1.00,2.63,1.63,0.03,2.26,0.00,1.00,0
10031,RV Estuche rigido doble Multimetro - Pinza,OPTIMO,21.00,13.30,0.00,0.08,16.60,17.00,4.00,0
10025,RV Estuche rigido para multimetro,REORDER,2.00,36.34,34.34,0.24,43.68,-1.00,3.00,0
10013,JCD Estacion de calor 2 en 1 8898,CRITICO,0.00,2.69,2.69,0.01,4.39,0.00,0.00,0
10010,UNI-T UT118C MULTÍMETRO TIPO LAPIZ,CRITICO,-1.00,3.76,4.76,0.03,4.52,-1.00,0.00,0
